Název nutrientu;Nutrienty základní;Energetická hodnota (kJ);Energetická hodnota (kcal);Bílkoviny celkové [NCF:6.25];Dusík celkový;Tuky celkové [FACF:0.800];Sacharidy celkové;Sacharidy využitelné;Vláknina potravy;Voda celková;Ethanol;Popel;Vitaminy;Vitamin B1 (thiamin);Vitamin B2 (riboflavin);Niacin ekvivalent;Niacin;Foláty celkové;Kyselina pantothenová;Vitamin B6 (pyridoxin);Vitamin B12;Vitamin C;Vitamin A;Retinol;beta-karoten;Vitamin D;Vitamin E;alfa - tokoferol;Minerální látky;Sodík;Hořčík;Fosfor;Draslík;Vápník;Železo;Měď;Zinek;Selen;Jód;Sůl;Cukry, škrob, polyoly, organické kyseliny;Cukry celkové;Fruktosa;Glukosa;Laktosa;Maltosa;Sacharosa;Škrob;Organické kyseliny;Polyoly;Mastné kyseliny a cholesterol;Nasycené mastné kyseliny;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 13:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;C 22:0;Mononenasycené mastné kyseliny;C 14:1;C 16:1;C 17:1;C 18:1, n-9;C 20:1, n-11;C 22:1, n-9;Polynenasycené mastné kyseliny;n-6 mastné kyseliny;C 18:2, n-6;C 18:3, n-6;C 20:4, n-6;n-3 mastné kyseliny;C 18:3, n-3;C 20:5, n-3 (EPA);C 22:5, n-3 (DPA);C 22:6, n-3 (DHA);Trans- mastné kyseliny;C 18:1, n-9 trans;C 18:2, n-6 trans;Cholesterol;Aminokyseliny;Glycin;Alanin;Valin;Leucin;Isoleucin;Serin;Threonin;Lysin;Asparagová kyselina;Glutamová kyselina;Arginin;Cystein;Methionin;Fenylalanin;Tyrosin;Tryptofan;Histidin;Prolin
Kód EuroFIR;;ENERC;ENERC;PROT;NT;FAT;CHOT;CHO;FIBT;WATER;ALC;ASH;;THIA;RIBF;NIAEQ;NIA;FOL;PANTAC;PYRXN;VITB12;VITC;VITA;RETOL;CARTB;VITD;VITE;TOCPHA;;NA;MG;P;K;CA;FE;CU;ZN;SE;ID;NACL;;SUGAR;FRUS;GLUS;LACS;MALS;SUCS;STARCH;OA;POLY;;FASAT;F4:0;F6:0;F8:0;F10:0;F12:0;F13:0;F14:0;F15:0;F16:0;F17:0;F18:0;F20:0;F22:0;FAMS;F14:1CN5;F16:1CN7;F17:1;F18:1CN9;F20:1CN11;F22:1CN9;FAPU;FACN6;F18:2CN6;F18:3CN6;F20:4CN6;FACN3;F18:3CN3;F20:5CN3;F22:5CN3;F22:6CN3;FATRN;F18:1TN9;F18:2 TTN6;CHORL;;GLY;ALA;VAL;LEU;ILE;SER;THR;LYS;ASP;GLU;ARG;CYS;MET;PHE;TYR;TRP;HIS;PRO
Jednotka;;kJ;kcal;g;g;g;g;g;g;g;g;g;;mg;mg;NE;mg;μg;mg;mg;μg;mg;RE;μg;μg;μg;ATE;mg;;mg;mg;mg;mg;mg;mg;mg;mg;μg;μg;g;;g;g;g;g;g;g;g;g;g;;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg
Maso telecí, krk;;468;111;19.9;3.19;3.5;0;0;0;75.6;;1.0;;;;;;;;;;;;;;;;;;86;;;;;;;;;;0.21;;0;0;0;0;0;0;;;;;1.45;0;0;0;0;0.01;0;0.22;0;0.80;0;0.41;0;0;1.41;0;0.11;0;1.30;0;0;0.09;0.06;0.06;0;0;0.03;0.03;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Ředkev bílá;;83;20;1.3;;0.1;4.2;2.6;1.6;93.5;0;0.9;;0.05;0.03;;;;;;;24.8;0;0;0;;0;;;30;24;40;337;42;1.1;;;;;0.08;;2.5;0.6;1.2;;;0.7;;;;;0.03;;;;;;;;;0.03;;0;;;0.02;;;;0.02;;;0.08;0.02;0.02;;;0.06;0.06;;;;;;;0;;;;;;;;;;;;;;;;;;;
Víno červené;;312;75;0.3;0;0;2.8;2.8;0;87.6;8.9;0.3;;0.01;0.02;;;;;;;0;0;0;0;;0;;;5;4;13;59;6;1.0;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;0;0;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Olej bavlníkový;;3700;900;0;0;99.9;0;0;0;0.1;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;21.32;0;0;0;0;0;0;0.68;0;0.48;0.09;2.46;0.35;0.17;23.61;0;0.48;0;22.92;0.26;0;50.00;49.43;49.28;0.09;0;0.67;0.68;0;;0;0.48;0;0.42;;;;;;;;;;;;;;;;;;;;
Maso kuřecí, zadní hřbety, s kostí, s kůží;;1374;333;12.5;2.0;31.4;0;0;0;54.4;;0.7;;;;;;;;;;;;;;;;;;59;;;;;;;;;;0.15;;0;0;0;0;0;0;;;;;7.96;0;0;0;0;0.02;0;0.23;0;5.65;0;2.03;0.03;0;15.63;0;1.15;0;14.28;0.21;0;5.75;4.92;4.87;0;0.06;0.83;0.83;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Lín, uzený, maso bez kůže;;572;136;19.7;3.16;6.4;0;0;0;70.1;;3.2;;;;;;;;;;;;;;;;;;848;;;;;;;;;;2.12;;0;0;0;0;0;0;;;;;1.46;0;0;0;0;0;0;0.10;0;1.20;0;0.15;0;0;2.87;0;0.89;0;1.95;0.03;0;0.78;0.28;0.28;0;0;0.51;0.32;0.13;;0.06;0;0;0;;;;;;;;;;;;;;;;;;;;
Sýr, Eidam, 30 % t. v s.;;1105;265;28.9;4.5;16.0;1.3;1.3;0;48.4;0;4.8;;0.05;0.35;;;;0.52;0.08;;0;142;136;70;0.18;0.41;0.41;;849;26;620;89;952;0.2;0.05;3.45;;7.0;2.1;;1.3;;;1.3;;;;;;;10.35;0.54;0.35;0.22;0.50;0.62;;1.76;;4.74;;1.62;;;4.32;0.22;0.35;;3.55;0.19;;0.46;0.34;0.34;;;0.13;0.13;;;;;;;53;;;;;;;;;;;;;;;;;;;
Cejn velký, maso bez kůže;;481;115;17.2;2.75;5.1;0;0;0;76.7;;1.2;;;;;;;;;;;;;;;;;;37;;;;;;;;;;0.09;;0;0;0;0;0;0;;;;;1.02;0;0;0;0;0;0;0.13;0;0.76;0;0.12;0;0;2.15;0;0.68;0;1.40;0.08;0;0.74;0.17;0.17;0;0;0.58;0.24;0.26;;0.07;0;0;0;;;;;;;;;;;;;;;;;;;;
Kukuřice cukrová, sterilovaná;;428;101;3.1;0.5;1.1;21.0;18.5;2.5;73.8;0;1.0;;0.05;0.08;;;;;;;5.0;18;0;210;;0.5;0.5;;310;23;62;200;3;0.6;;;;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.52;0.52;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Mléko kozí;;220;53;3.0;0.5;2.4;4.6;4.6;0;89.2;;0.8;;;;;;;;;;;;;;;;;;61;;;;;;;;;;0.15;;4.1;0;0;4.1;0;0;;;;;2.08;0;0.05;0;0.13;0.10;0;0.27;0;0.84;0;0.54;0;0;0.19;0;0;0;0.22;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso vepřové, pečeně bez kosti, syrová (separovatelný tuk 1 %);;549;130;22.6;3.6;4.4;0;0;0;71.9;0;1.1;;1.02;0.09;;8.6;;0.65;0.54;;0;2;2;0;;0.40;0.40;;46;27;228;359;5;0.4;;1.46;;;0.1;;0;;;;;;;;;;1.09;;;;0.01;0.01;;0.06;;1.01;0.01;0.57;0.01;;1.93;;0.11;;1.78;0.04;;0.31;0.28;0.27;;0.01;0.02;0.02;;;;0.01;0.01;;48;;924;1222;1054;1734;1000;843;984;660;1995;3186;1285;398;582;814;610;;945;894
Paprika, sušená;;1389;330;8.7;1.39;5.1;71.3;53.5;17.8;11.0;;3.9;;;;;;;;;;;;;;;;;;35;;;;;;;;;;0.09;;53.4;19.4;33.7;0;0;0.3;;;;;0.90;0;0;0;0;0;0;0.09;0;0.62;0;0.18;0;0;0.24;0;0;0;0.24;0;0;2.78;1.96;1.95;0;0.02;0.82;0.82;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Rybíz černý, lyofilizovaný;;1400;333;5.8;0.93;4.0;80.2;56.8;23.4;7.5;;2.5;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;41.6;21.4;16.8;0;0;3.4;;;;;0.29;0;0;0;0;0;0;0;0;0.23;0;0.06;0;0;0.60;0;0;0;0.55;0.04;0;1.76;1.41;1.41;0;0;0.36;0.36;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Stévie prášek;;1639;386;0.3;0;0;96.1;96.1;0;3.4;;0.2;;;;;;;;;;;;;;;;;;42;;;;;;;;;;0.10;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Maso koňské, kližka;;448;106;22.0;3.53;2.0;0;0;0;74.4;;1.1;;;;;;;;;;;;;;;;;;92;;;;;;;;;;0.23;;0;0;0;0;0;0;;;;;0.68;0;0;0;0;0.01;0;0.07;0;0.54;0;0.07;0;0;0.73;0;0.11;0;0.63;0;0;0.31;0.15;0.14;0;0;0.16;0.16;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Meruňky, lyofilizované;;1468;347;5.5;0.88;0.8;87.0;72.2;14.8;0.5;;6.2;;;;;;;;;;;;;;;;;;6;;;;;;;;;;0.01;;49.0;6.0;12.9;0;0;30.1;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Lihovina, gin;;1100;262;0;0;0;0;0;0;62.1;37.9;0;;0;0;;;;;;;0;0;0;0;;0;0;;2;0;0;0;0;0.2;;;;;0;;0;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;0;0;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Maso slepičí, stehno s kůží a kostí;;559;133;19.4;3.1;6.2;0;0;0;73.8;;1.0;;;;;;;;;;;;;;;;;;72;;;;;;;;;;0.18;;0;0;0;0;0;0;;;;;1.59;0;0;0;0;0;0;0.05;0;1.21;0;0.34;0;0;3.19;0;0.28;0;2.88;0.03;0;1.06;1.02;1.02;0;0;0.04;0.04;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Zelí hlávkové, bílé;;123;29;1.6;0.3;0.2;6.6;4.1;2.5;91.0;0;0.6;;0.06;0.06;;;;;;;44.0;4;0;52;;0.02;0.02;;13;18;34;238;53;0.5;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;0.03;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Maso kančí, plec;;661;158;19.5;3.12;8.9;0;0;0;70.0;;1.1;;;;;;;;;;;;;;;;;;51;;;;;;;;;;0.13;;0;0;0;0;0;0;;;;;2.17;0;0;0;0;0;0;0.07;0;1.39;0;0.71;0;0;3.14;0;0.12;0;2.98;0.04;0;2.74;2.38;2.35;0;0.03;0.35;0.35;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Amur bílý, maso z celé ryby;;424;101;16.9;2.7;3.7;0;0;0;78.0;;1.1;;;;;;;;;;;;;;;;;;33;;;;;;;;;;0.08;;0;0;0;0;0;0;;;;;0.49;0;0;0;0;0;0;0.06;0;0.34;0;0.09;0;0;1.37;0;0.35;0;0.98;0.04;0;0.37;0.29;0.27;0;0.02;0.08;0.06;0.01;;0.01;0;0;0;;;;;;;;;;;;;;;;;;;;
Brusinky sušené;;1503;354;0.2;0.04;1.2;87.0;84.4;2.6;11.5;;0.1;;;;;;;;;;;;;;;;;;8;;;;;;;;;;0.02;;71.4;33.0;35.8;0;0;2.7;;;;;0.19;0;0;0;0;0;0;0;0;0.14;0;0.06;0;0;0.67;0;0;0;0.67;0;0;0.27;0.20;0.20;0;0;0.07;0.07;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Mléko sušené, nízkotučné;;1640;388;34.0;5.3;6.0;49.4;49.4;0;3.0;0;7.5;;0.36;2.03;;;;;;;0;53;51;26;0.05;0.15;0.15;;450;110;1054;1504;1361;0.5;0.088;3.49;;143;1.1;;49.4;;;49.4;;;;;;;3.88;0.20;0.13;0.08;0.19;0.23;;0.66;;1.78;;0.61;;;1.62;0.08;0.13;;1.33;0.07;;0.17;0.13;0.13;;;0.05;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;
Křepelka celá, s kůží;;722;173;19.6;3.14;10.5;0;0;0;68.1;;1.2;;;;;;;;;;;;;;;;;;60;;;;;;;;;;0.15;;0;0;0;0;0;0;;;;;3.25;0;0;0;0;0;0;0.07;0;2.46;0;0.71;0.02;0;4.18;0;0.53;0;3.65;0;0;2.34;2.21;2.21;0;0;0.13;0.13;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso bažantí, prsa;;434;102;24.2;3.88;0.6;0;0;0;73.6;;1.2;;;;;;;;;;;;;;;;;;39;;;;;;;;;;0.10;;0;0;0;0;0;0;;;;;0.25;0;0;0;0;0;0;0.01;0;0.15;0;0.09;0;0;0.26;0;0.02;0;0.25;0;0;0.03;0.03;0.03;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Smetana se sníženým obsahem tuku, (na vaření), 10 % tuku;;492;119;2.9;0.5;10.0;4.3;4.3;0;82.1;0;0.6;;0.03;0.16;;;;;;;0;89;85;44;0.15;0.26;0.26;;37;9;86;123;112;0;0.01;0.29;;11.7;0.1;;4.3;;;4.3;;;;;;;6.47;0.34;0.22;0.14;0.31;0.39;;1.10;;2.96;;1.01;;;2.70;0.14;0.22;;2.22;0.12;;0.29;0.21;0.21;;;0.08;0.08;;;;;;;33;;;;;;;;;;;;;;;;;;;
Sádlo vepřové;;3690;896;0.2;0;99.5;0;0;0;0.2;0;0.1;;0;0;;;;;;;0;0;0;0;;1.26;1.26;;2;2;5;1;2;0.3;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.49;8.49;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;
Cibule šalotka;;187;44;1.5;0.2;0.1;10.3;8.2;2.2;87.4;;0.6;;;;;;;;;;;;;;;;;;2;;;;;;;;;;0;;4.5;2.0;0.9;0;0;1.5;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Salát letní, trh;;190;45;4.9;0.8;1.4;3.2;;;89.6;0;0.9;;0.04;0.04;;0.4;;;0.14;;0;91;0;1090;;1.42;1.42;;103;8;31;196;25;0.3;0.06;0.15;;6.6;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brokolice;;153;37;4.4;0.7;0.3;6.1;2.0;4.1;88.2;0;1.0;;0.08;0.17;;;;;;;121.0;77;0;920;;1.3;1.3;;10;24;74;424;77;1.1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;0.03;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Maso selečí , bok;;601;144;18.6;2.97;7.7;0;0;0;71.6;;1.1;;;;;;;;;;;;;;;;;;83;;;;;;;;;;0.21;;0;0;0;0;0;0;;;;;2.94;0;0;0;0;0;0;0.10;0;1.79;0;1.01;0.05;0;2.66;0;0.16;0;2.50;0;0;1.20;1.08;1.08;0;0;0.12;0.12;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Máslo kakaové;;3693;898;0;0;99.8;0;0;0;0.2;0;0;;0;0;;;;;;;0;0;0;0;;1.80;1.80;;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;60.57;0;0;0;0;0;0;0;0;23.97;0;35.71;0.90;0;32.06;0;0.22;0;31.84;0;0;2.56;2.56;2.56;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Maso hovězí, plec bez kosti, syrová (separovatelný tuk 3 %);;531;126;20.7;3.3;4.8;0;0;0;73.5;0;1.1;;0.04;0.16;;4.8;;;0.32;;0;4;4;0;;0.23;0.23;;68;24;198;284;4;2.3;;4.9;;;0.2;;0;;;;;;;;;;2.36;;;;0;0;;0.14;0.02;1.25;0.05;0.88;0.01;;1.84;0.03;0.18;;1.63;0.01;;0.15;0.12;0.12;;0.01;0.02;0.03;;;;0.02;0.02;;48;;1027;1337;1147;1885;1094;898;1053;1222;2128;3545;1461;365;631;946;908;;842;839
Bulgur ječmenný;;1436;340;8.2;1.31;1.6;80.65;65.96;14.69;8.3;;1.3;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;1.00;0.15;0;0;0;0.85;;;;;0.26;0;0;0;0;0;0;0.01;0;0.23;0;0.02;0;0;0.22;0;0;0;0.21;0.01;0;0.63;0.60;0.60;0;0;0.03;0.03;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Párky debrecínské;;1180;283;15.2;2.4;24.0;2.2;;0;57.3;0;3.0;;0.19;0.14;;;;;;;0;3;3;;;;;;814;14;127;182;12;2.5;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.12;;;;;;;;;;;85;;;;;;;;;;;;;;;;;;;
Párky drůbeží;;1010;241;13.9;2.2;19.2;3.8;3.7;0;60.7;0;2.4;;0.07;0.15;;;;;;;0;5;5;0;;;;;131;19;189;173;90;1.5;;;;;;;;;;;;;;;;;6.94;;;;;;;;;;;;;;7.35;;;;;;;3.47;;2.68;;;;;;;;;;;65;;;;;;;;;;;;;;;;;;;
Salát holandský, trh;;1370;331;10.9;1.7;30.6;2.9;;;53.4;0;2.3;;0.05;0.22;;0.5;;;0.07;;0;107;60;560;;7.12;7.12;;589;10;183;83;182;0.9;0.04;1.23;;18.4;1.5;;;;;;;;;;;;5.23;0.07;0.05;0.03;0.08;0.09;;0.35;;3.10;;1.22;0.15;0.09;16.74;0.05;0.29;;15.96;0.37;0.07;6.69;4.76;4.76;;;1.93;1.93;;;;;;;;;;;;;;;;;;;;;;;;;;
Bílkovina sójová izolovaná;;1553;366;82.0;13.1;2.7;3.5;3.5;0;6.7;;5.1;;;;;;;;;;;;;;;;;;1666;;;;;;;;;;4.17;;0;0;0;0;0;0;;;;;0.77;0;0;0;0;0;0;0;0;0.59;0;0.18;0;0;0.43;0;0;0;0.43;0;0;1.35;1.20;1.20;0;0;0.15;0.15;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Lín obecný, maso bez kůže;;463;110;17.0;2.72;4.7;0;0;0;77.5;;1.1;;;;;;;;;;;;;;;;;;38;;;;;;;;;;0.09;;0;0;0;0;0;0;;;;;1.08;0;0;0;0;0;0;0.06;0;0.92;0;0.10;0;0;2.23;0;0.53;0;1.68;0.03;0;0.63;0.43;0.43;0;0;0.21;0.13;0.04;;0.04;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso vepřové, krkovice bez kosti, libová, pečená;;1120;268;29.6;4.7;16.6;0;0;0;52.6;0;1.1;;0.45;0.21;;7.6;;0.67;0.29;;0;7;7;0;;0.60;0.60;;52;25;224;308;5;1.4;;4.85;;;0.1;;0;;;;;;;;;;4.31;;;;0.02;0.02;;0.25;;3.92;0.06;2.65;0.04;;6.37;;0.33;;5.85;0.15;;1.23;1.14;1.11;;0.03;0.09;0.09;;;;0.04;0.04;;75;;1557;1972;1705;2739;1604;1332;1616;826;3163;5006;2246;564;922;1380;1364;;1091;1233
Nashi;;183;43;0.6;0.1;0.1;11.3;8.5;2.8;87.6;;0.4;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;1.0;0;0;0;0;1.0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Physalis, bobule;;295;71;1.9;0.3;1.7;14.8;9.0;5.8;82.1;;1.3;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;9.0;3.5;3.3;0;0;2.2;;;;;0.14;0;0;0;0;0;0;0;0;0.11;0;0.03;0;0;0.17;0;0.01;0;0.17;0;0;1.12;1.12;1.12;0;0;0.01;0.01;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Koření, oregano (dobromysl), sušené;;1130;273;8.9;1.42;4.8;71.21;25.93;45.27;7.9;;7.2;;;;;;;;;;;;;;;;;;85;;;;;;;;;;0.21;;3.46;1.55;1.53;0;0;0.38;;;;;0.96;0;0;0;0;0;0;0.42;0;0.45;0;0.08;0;0;0.40;0;0;0;0.40;0;0;1.94;0.50;0.50;0;0;1.43;1.43;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Jahody zahradní;;158;37;0.8;0.1;0.4;8.6;6.7;1.9;89.5;0;0.7;;0.03;0.06;;;;;;;66.6;1;0;14;;0.45;0.45;;3;13;28;143;27;0.82;;;;;0;;6.0;2.5;2.5;;;1.0;;;;;0.04;;;;;;;;;0.04;;;;;0.06;;;;0.06;;;0.24;0.13;0.13;;;0.11;0.11;;;;;;;0;;;;;;;;;;;;;;;;;;;
Maso vepřové, krkovice bez kosti, libová, syrová;;723;173;19.9;3.2;10.4;0;0;0;68.6;0;1.0;;0.79;0.12;;6.4;;0.69;0.37;;0;4;4;0;;0.40;0.40;;54;23;204;327;5;0.9;;2.79;;;0.1;;0;;;;;;;;;;2.67;;;;0.02;0.01;;0.16;;2.43;0.03;1.50;0.02;;3.87;;0.22;;3.56;0.08;;1.09;1.02;1.00;;0.02;0.07;0.07;;;;0.02;0.02;;48;;1023;1387;1203;1944;1136;967;1157;624;2277;3650;1585;364;666;951;1044;;1031;851
Štikozubec argentinský (mořská štika, hejk), maso bez kůže;;317;75;15.8;2.52;1.3;0;0;0;81.2;;1.3;;;;;;;;;;;;;;;;;;172;;;;;;;;;;0.43;;0;0;0;0;0;0;;;;;0.20;0;0;0;0;0;0;0.02;0;0.14;0;0.04;0;0;0.47;0;0.04;0;0.40;0.03;0;0.20;0.13;0.13;0;0;0.07;0.03;0.02;;0.03;0;0;0;;;;;;;;;;;;;;;;;;;;
Mouka pohanková;;1479;349;11.0;1.8;2.6;72.5;68.4;4.2;12.3;;1.5;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;1.6;0.2;0;0;0;1.3;;;;;0.19;0;0;0;0;0;0;0.03;0;0.14;0;0.03;0;0;0.44;0;0;0;0.42;0.02;0;0.52;0.50;0.50;0;0;0.02;0.02;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Palačinka se zavařeninou, trh;;842;199;5.2;0.8;4.1;35.4;;;54.4;0;0.9;;0.04;0.12;;0.2;;;0.02;;0;1;0;10;;1.01;1.01;;191;7;102;83;53;0.3;0.05;0.39;;14.4;0.5;;;;;;;;;;;;0.70;0;0;0;0;0;;0.01;;0.49;;0.17;0.02;0.01;1.49;0;0.03;;1.44;0.02;0;1.73;1.51;1.51;;;0.22;0.22;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogurt bílý, se sníženým obsahem tuku, 1,5 % tuku;;216;51;3.9;0.6;1.5;4.3;4.3;0;88.0;0;0.9;;;;;;;;;;0;14;13;7;0.08;0.04;0.04;;51;12;119;169;157;0.1;0.01;0.39;;16.1;0.1;;4.3;;;4.3;;;;1.6;;;0.97;0.05;0.03;0.02;0.05;0.06;;0.17;;0.44;;0.15;;;0.41;0.02;0.03;;0.33;0.02;;0.04;0.03;0.03;;;0.01;0.01;;;;;;;5;;;;;;;;;;;;;;;;;;;
Koření, hřebíček;;1510;363;5.8;0.9;17.2;63.6;29.0;34.6;7.4;0;6.0;;0.11;0.27;;;;;;;0;7;0;84;;8.52;8.52;;240;260;110;1100;730;5.6;;;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.81;1.81;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Maso koňské, svíčková;;404;96;19.6;3.13;1.9;0;0;0;74.9;;1.2;;;;;;;;;;;;;;;;;;37;;;;;;;;;;0.09;;0;0;0;0;0;0;;;;;0.77;0;0;0;0;0.02;0;0.12;0;0.56;0;0.08;0;0;0.47;0;0.09;0;0.37;0;0;0.41;0.20;0.19;0;0.01;0.21;0.21;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Margarín s nízkým obsahem tuku (39 %) s přídavkem másla, Perla máslová příchuť se špetkou soli, UNILEVER;;1473;358;0.1;;39.2;1.3;1.2;0;58.3;0;;;;;;;;;;;;;;;;;;;484;;;;;;;;;;1.2;;0.1;;;;;;;;;;10.23;;;;;;;;;;;;;;20.41;;;;;;;8.47;;;;;;;;;;0.11;;;1;;;;;;;;;;;;;;;;;;;
Bílkovina mléčná;;261;62;9.4;1.5;0.1;5.6;5.6;0;83.6;;1.2;;;;;;;;;;;;;;;;;;41;;;;;;;;;;0.10;;4.6;0;0;4.6;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Švestky sušené;;824;197;2.4;0.4;0.2;50.5;41.2;9.3;34.4;;12.4;;;;;;;;;;;;;;;;;;5;;;;;;;;;;0.01;;24.8;10.0;14.8;0;0;0;;;;;0.16;0;0;0;0;0;0;0;0;0.06;0;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Cheeseburger (firma McDONALD´S);;1090;259;18.4;2.9;9.0;26.0;;;43.7;0;2.9;;0.06;0.12;;2.2;;;0.09;;0.0;30;30;;;1.25;1.25;;631;15;154;193;129;0.8;0.08;1.60;;7.0;1.6;;;;;;;;;;;;3.27;;0.05;0.03;0.05;0.06;;0.31;;1.69;;0.89;0.19;;0.32;0.05;0.24;;;0.03;;4.39;4.32;3.53;0.79;;0.07;0.01;;;0.06;;;;;;;;;;;;;;;;;;;;;;;
Kokos mletý;;2830;687;6.4;1.0;65.7;23.8;11.2;12.6;2.3;0;1.8;;0.04;0.04;;;;;;;0;0;0;0;;0.15;0.15;;28;90;187;750;11;3.6;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.1;1.1;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Sardinky v rajčatové omáčce;;679;162;17.0;2.7;9.9;1.5;1.4;0.1;69.5;0;2.1;;0.03;0.28;;;;;;;0.8;37;9;340;;2.3;2.3;;350;39;420;410;340;2.9;;;;;0.9;;1.4;0.8;0.6;;;;;;;;2.80;;;;;;;0.60;0.10;1.60;0.10;0.40;;;2.70;;0.70;0.10;1.80;0.10;0.10;3.00;1.10;1.0;;0.10;1.90;0.20;0.90;0.10;0.70;;;;76;;;;;;;;;;;;;;;;;;;
Maso vepřové, kýta bez kosti, syrová (separovatelný tuk 5 %);;581;139;20.3;3.2;6.4;0;0;0;72.1;0;1.2;;0.76;0.14;;5.9;;0.56;0.54;;0;3;3;0;;0.40;0.40;;51;26;223;336;4;0.7;;1.99;;;0.1;;0;;;;;;;;;;1.68;;;;0.01;0.01;;0.09;;1.54;0.02;0.84;0.01;;2.62;;0.17;;2.38;0.05;;0.55;0.52;0.49;;0.03;0.03;0.03;;;;0.02;0.02;;56;;1005;1225;1046;1684;943;820;924;721;1920;3045;1320;350;553;769;589;;905;842
